"Genotype"	"Estimate"	"StdErr"
"466"	"M0236"	12.9094	0.5401
"467"	"M0238"	15.8872	1.3809
"468"	"M0239"	16.3794	0.5791
"469"	"M0240"	15.5183	0.5426
"470"	"M0241"	14.733	0.6279
"471"	"M0244"	13.3861	0.5402
"472"	"M0245"	14.7033	0.3966
"473"	"M0248"	13.5687	0.7107
"474"	"M0249"	14.8754	0.4792
"475"	"M0251"	14.4239	0.4847
"476"	"M0252"	15.9236	0.4642
"477"	"M0254"	14.5892	0.4864
"478"	"M0256"	16.9634	0.6978
"479"	"M0257"	13.8396	0.4847
"480"	"M0258"	16.6051	0.5374
"481"	"M0259"	15.0984	0.4929
"482"	"M0260"	12.358	0.4395
"483"	"M0262"	13.4658	0.4461
"484"	"M0263"	17.4087	0.586
"485"	"M0264"	15.855	0.3966
"486"	"M0265"	15.4946	0.4406
"487"	"M0266"	16.9069	0.41
"488"	"M0267"	16.2458	0.41
"489"	"M0269"	13.4445	0.5372
"490"	"M0270"	14.0928	1.3808
"491"	"M0271"	14.2944	0.5401
"492"	"M0272"	17.0172	0.5425
"493"	"M0273"	16.5044	0.5102
"494"	"M0274"	15.9013	0.5178
"495"	"M0275"	19.7781	0.51
"496"	"M0276"	14.1165	0.4393
"497"	"M0279"	12.3061	1.3808
"498"	"M0280"	12.983	0.5075
"499"	"M0282"	13.2619	0.5079
"500"	"M0284"	16.6071	0.4091
"501"	"M0285"	12.2523	0.41
"502"	"M0286"	12.8111	0.7316
"503"	"M0287"	15.5608	0.4101
"504"	"M0288"	16.4407	0.481
"505"	"M0289"	12.6921	0.4262
"506"	"M0290"	14.5896	0.4393
"507"	"M0291"	15.2894	0.5078
"508"	"M0292"	10.5492	0.442
"509"	"M0293"	13.3144	0.5141
"510"	"M0294"	14.4636	0.5857
"511"	"M0295"	13.4814	0.4091
"512"	"M0296"	13.1573	0.5178
"513"	"M0297"	16.1897	0.3965
"514"	"M0298"	16.5921	0.4596
"515"	"M0300"	14.0276	0.5791
"516"	"M0303"	13.6487	0.6323
"517"	"M0304"	12.0782	0.9767
"518"	"M0305"	13.0736	0.7108
"519"	"M0306"	14.0441	0.6376
"520"	"M0307"	15.294	0.4843
"521"	"M0309"	15.2499	0.4395
"522"	"M0310"	15.948	0.4394
"523"	"M0311"	14.7487	0.4394
"524"	"M0312"	13.9341	0.4091
"525"	"M0313"	12.2671	0.5372
"526"	"M0317"	12.3361	0.4239
"527"	"M0318"	14.4618	0.4239
"528"	"M0320"	14.4893	0.6976
"529"	"M0321"	16.7179	0.4394
"530"	"M0322"	15.1023	0.4811
"531"	"M0323"	13.4905	0.458
"532"	"M0324"	13.633	0.5756
"533"	"M0325"	15.2	0.409
"534"	"M0326"	13.7591	0.5402
